"config","algorithm","avg_cost_per_step","avg_fill_rate","avg_stockout_rate","avg_bullwhip_cv","avg_transport_per_step","avg_route_distance_per_step","routing_feasible_rate","runtime_sec"
"env_3layers_normal","(s,S)+GARouting","2812.455227926133","0.5112956334263331","0.48870436657366684","2.5141867092821752","43.71774700138328","43.71774700138328","1.0","3.9707601070404053"
"env_3layers_normal","GAInventory+Savings","885.4447451119222","0.9016483172692737","0.09835168273072621","1.6182417419179729","113.72705383145454","113.72705383145454","1.0","0.6719009876251221"
"env_3layers_normal","GAInventory+Savings2Opt","885.4447451119222","0.9016483172692737","0.09835168273072621","1.6182417419179729","113.72705383145454","113.72705383145454","1.0","0.6174683570861816"
"env_3layers_normal","ALNSInventory+Savings","819.937994281852","0.8874438554671552","0.11255614453284472","1.800157656587795","118.98094622828303","118.98094622828303","1.0","0.19573235511779785"
"env_3layers_normal","ALNSInventory+Savings2Opt","819.937994281852","0.8874438554671552","0.11255614453284472","1.800157656587795","118.98094622828303","118.98094622828303","1.0","0.19491958618164062"
"env_3layers_normal","ALNS-IRP","808.5908503466486","0.9117338319075724","0.08826616809242753","1.8835770832720014","119.97026645406324","119.97026645406324","1.0","0.857947826385498"
"env_3layers_normal","MILP","379.08324379103124","0.9900850678805707","0.009914932119429213","1.6119297574936822","0.0","0.0","1.0","909.1834888458252"
"env_3layers_seasonal","BaseStock","414.6333333333334","0.8174699204829876","0.1825300795170124","2.059817508997108","0.0","0.0","1.0","0.021263599395751953"
"env_3layers_seasonal","(s,S)","516.3444444444444","0.7584241635176762","0.2415758364823237","2.9863689589760427","0.0","0.0","1.0","0.02050018310546875"
"env_3layers_seasonal","BaseStock+Savings","483.17599422635067","0.8174699204829876","0.1825300795170124","2.059817508997108","68.54266089301733","68.54266089301731","1.0","0.02683258056640625"
"env_3layers_seasonal","(s,S)+Savings","559.6275848314332","0.7584241635176762","0.2415758364823237","2.9863689589760427","43.28314038698867","43.28314038698867","1.0","0.02531743049621582"
"env_3layers_seasonal","BaseStock+Savings2Opt","483.17599422635067","0.8174699204829876","0.1825300795170124","2.059817508997108","68.54266089301733","68.54266089301731","1.0","0.027415752410888672"
"env_3layers_seasonal","(s,S)+Savings2Opt","559.6275848314332","0.7584241635176762","0.2415758364823237","2.9863689589760427","43.28314038698867","43.28314038698867","1.0","0.025567054748535156"
"env_3layers_seasonal","BaseStock+NearestInsertion","483.17599422635067","0.8174699204829876","0.1825300795170124","2.059817508997108","68.54266089301733","68.54266089301731","1.0","0.027796268463134766"
"env_3layers_seasonal","(s,S)+NearestInsertion","559.6275848314332","0.7584241635176762","0.2415758364823237","2.9863689589760427","43.28314038698867","43.28314038698867","1.0","0.03005385398864746"
"env_3layers_seasonal","BaseStock+GARouting","483.17599422635067","0.8174699204829876","0.1825300795170124","2.059817508997108","68.54266089301733","68.54266089301731","1.0","6.1275646686553955"
"env_3layers_seasonal","(s,S)+GARouting","559.6275848314332","0.7584241635176762","0.2415758364823237","2.9863689589760427","43.28314038698867","43.28314038698867","1.0","3.7480854988098145"
"env_3layers_seasonal","GAInventory+Savings","903.9967605859734","0.9874963221308947","0.012503677869105334","1.7118132319617023","121.4078716970845","121.4078716970845","1.0","0.6938977241516113"
"env_3layers_seasonal","GAInventory+Savings2Opt","903.9967605859734","0.9874963221308947","0.012503677869105334","1.7118132319617023","121.4078716970845","121.4078716970845","1.0","0.646632194519043"
"env_3layers_seasonal","ALNSInventory+Savings","1042.8001490922659","0.9913852629144494","0.008614737085550717","2.3205982602361286","103.7779268700436","103.7779268700436","1.0","0.2284250259399414"
"env_3layers_seasonal","ALNSInventory+Savings2Opt","1042.8001490922659","0.9913852629144494","0.008614737085550717","2.3205982602361286","103.7779268700436","103.7779268700436","1.0","0.486147403717041"
"env_3layers_seasonal","ALNS-IRP","1082.6343036401565","0.9945754096473302","0.005424590352669918","2.2770155394393417","100.18985919571186","100.18985919571186","1.0","0.93233323097229"
"env_3layers_seasonal","MILP","499.82222222222225","0.9793891206156887","0.020610879384311276","1.7181340172480393","0.0","0.0","1.0","3.3022191524505615"
"env_3layers_shock","BaseStock","3214.988888888889","0.5080434390330207","0.4919565609669793","1.5099573319183788","0.0","0.0","1.0","0.021663427352905273"
"env_3layers_shock","(s,S)","3388.511111111111","0.4956716252183689","0.5043283747816311","1.7994276249174215","0.0","0.0","1.0","0.020741701126098633"
"env_3layers_shock","BaseStock+Savings","3268.672912679273","0.5080434390330207","0.4919565609669793","1.5099573319183788","53.68402379038411","53.68402379038411","1.0","0.027339696884155273"
"env_3layers_shock","(s,S)+Savings","3429.257898806527","0.4956716252183689","0.5043283747816311","1.7994276249174215","40.74678769541595","40.74678769541595","1.0","0.023980140686035156"
"env_3layers_shock","BaseStock+Savings2Opt","3268.672912679273","0.5080434390330207","0.4919565609669793","1.5099573319183788","53.68402379038411","53.68402379038411","1.0","0.02704000473022461"
"env_3layers_shock","(s,S)+Savings2Opt","3429.257898806527","0.4956716252183689","0.5043283747816311","1.7994276249174215","40.74678769541595","40.74678769541595","1.0","0.025302886962890625"
"env_3layers_shock","BaseStock+NearestInsertion","3268.672912679273","0.5080434390330207","0.4919565609669793","1.5099573319183788","53.68402379038411","53.68402379038411","1.0","0.03342461585998535"
"env_3layers_shock","(s,S)+NearestInsertion","3429.257898806527","0.4956716252183689","0.5043283747816311","1.7994276249174215","40.74678769541595","40.74678769541595","1.0","0.030195236206054688"
"env_3layers_shock","BaseStock+GARouting","3268.672912679273","0.5080434390330207","0.4919565609669793","1.5099573319183788","53.68402379038411","53.68402379038411","1.0","4.796373605728149"
"env_3layers_shock","(s,S)+GARouting","3429.257898806527","0.4956716252183689","0.5043283747816311","1.7994276249174215","40.74678769541595","40.74678769541595","1.0","3.9839532375335693"
"env_3layers_shock","GAInventory+Savings","1235.54711936922","0.8302345234101033","0.16976547658989663","1.3014963935302712","107.83600825810892","107.83600825810892","1.0","0.8162517547607422"
"env_3layers_shock","GAInventory+Savings2Opt","1235.54711936922","0.8302345234101033","0.16976547658989663","1.3014963935302712","107.83600825810892","107.83600825810892","1.0","0.6337265968322754"
"env_3layers_shock","ALNSInventory+Savings","1008.0493175129022","0.8671595410641717","0.1328404589358283","1.3668196783753483","118.62709529068006","118.62709529068006","1.0","0.19356966018676758"
"env_3layers_shock","ALNSInventory+Savings2Opt","1008.0493175129022","0.8671595410641717","0.1328404589358283","1.3668196783753483","118.62709529068006","118.62709529068006","1.0","0.19382977485656738"
"env_3layers_shock","ALNS-IRP","1120.4976025301435","0.863264551632183","0.13673544836781704","1.4848180792523331","118.74204697458775","118.74204697458775","1.0","0.722689151763916"
"env_3layers_shock","MILP","402.0222222222222","0.9694893021197452","0.030510697880254806","1.0807802874267616","0.0","0.0","1.0","3.2788867950439453"
"env_3layers_trend","BaseStock","1903.7555555555555","0.6765297898607185","0.3234702101392815","2.260670828163","0.0","0.0","1.0","0.03154420852661133"
"env_3layers_trend","(s,S)","2113.0444444444443","0.633663331041261","0.3663366689587389","2.6144803318180716","0.0","0.0","1.0","0.02952861785888672"
